rep	case	h2	env	ts	Qx	P-Chi	P-EN
T67	C1	same-0.3	env-0.0	p-0.50	1.48212022707728	0.223443087539704	0.433
T68	C1	same-0.3	env-0.0	p-0.50	8.69299457694527	0.00319435377715345	0.467
T69	C1	same-0.3	env-0.0	p-0.50	0.605928733862873	0.436324844732721	0.779
T70	C1	same-0.3	env-0.0	p-0.50	-31.8870320751257	1	0.972
T71	C1	same-0.3	env-0.0	p-0.50	2.95576699574157	0.0855716954848866	0.357
T72	C1	same-0.3	env-0.0	p-0.50	9.95467727481184	0.00160441249630626	0.119
T73	C1	same-0.3	env-0.0	p-0.50	4.12334219893827	0.0422954417695983	0.178
T74	C1	same-0.3	env-0.0	p-0.50	-2.37512986711376	1	0.635
T75	C1	same-0.3	env-0.0	p-0.50	0.061151237305312	0.804685529136893	0.852
T76	C1	same-0.3	env-0.0	p-0.50	-51.9592347339773	1	0.925
T77	C1	same-0.3	env-0.0	p-0.50	0.0247957748212556	0.874877016947168	0.954
T78	C1	same-0.3	env-0.0	p-0.50	25.5494287250713	4.31193700608936e-07	0.238
T79	C1	same-0.3	env-0.0	p-0.50	-0.00265852801946916	1	0.01
T80	C1	same-0.3	env-0.0	p-0.50	2.1910267773533	0.138816749948973	0.28
T81	C1	same-0.3	env-0.0	p-0.50	-16.5908928280626	1	0.91
T82	C1	same-0.3	env-0.0	p-0.50	52.9670850743029	3.39184839812439e-13	0.322
T83	C1	same-0.3	env-0.0	p-0.50	6.030627099938	0.014059737372405	0.628
T84	C1	same-0.3	env-0.0	p-0.50	0.067939044599511	0.794361507255156	0.844
T85	C1	same-0.3	env-0.0	p-0.50	2.36856907684029	0.123800483110178	0.172
T86	C1	same-0.3	env-0.0	p-0.50	-4.61957419280077	1	0.647
T87	C1	same-0.3	env-0.0	p-0.50	1.37515149263988	0.240928754109051	0.582
T88	C1	same-0.3	env-0.0	p-0.50	-3.76417751817703	1	0.759
T89	C1	same-0.3	env-0.0	p-0.50	-0.51208167117393	1	0.412
T90	C1	same-0.3	env-0.0	p-0.50	22.8231263667453	1.7761552679586e-06	0.102
T91	C1	same-0.3	env-0.0	p-0.50	2.72180852854169	0.0989858027300831	0.282
T92	C1	same-0.3	env-0.0	p-0.50	-42.3875655334312	1	0.973
T93	C1	same-0.3	env-0.0	p-0.50	1.02264940797525	0.311891385453676	0.515
T94	C1	same-0.3	env-0.0	p-0.50	-0.280326624196133	1	0.238
T95	C1	same-0.3	env-0.0	p-0.50	0.186736710172257	0.665646617878483	0.836
T96	C1	same-0.3	env-0.0	p-0.50	-2.04648439520751	1	0.561
T97	C1	same-0.3	env-0.0	p-0.50	-5.11687834607813	1	0.545
T98	C1	same-0.3	env-0.0	p-0.50	-1.49439273758313	1	0.746
T99	C1	same-0.3	env-0.0	p-0.50	-3.05496169019744	1	0.708
T100	C1	same-0.3	env-0.0	p-0.50	1.00148948232435	0.316950364959003	0.493
T1	C1	diff-0.3	env-0.0	p-0.50			
T2	C1	diff-0.3	env-0.0	p-0.50			
T3	C1	diff-0.3	env-0.0	p-0.50			
T4	C1	diff-0.3	env-0.0	p-0.50			
T5	C1	diff-0.3	env-0.0	p-0.50			
T6	C1	diff-0.3	env-0.0	p-0.50			
T7	C1	diff-0.3	env-0.0	p-0.50			
T8	C1	diff-0.3	env-0.0	p-0.50			
T9	C1	diff-0.3	env-0.0	p-0.50			
T10	C1	diff-0.3	env-0.0	p-0.50			
T11	C1	diff-0.3	env-0.0	p-0.50			
T12	C1	diff-0.3	env-0.0	p-0.50			
T13	C1	diff-0.3	env-0.0	p-0.50			
T14	C1	diff-0.3	env-0.0	p-0.50			
T15	C1	diff-0.3	env-0.0	p-0.50			
T16	C1	diff-0.3	env-0.0	p-0.50			
T17	C1	diff-0.3	env-0.0	p-0.50			
T18	C1	diff-0.3	env-0.0	p-0.50			
T19	C1	diff-0.3	env-0.0	p-0.50			
T20	C1	diff-0.3	env-0.0	p-0.50			
T21	C1	diff-0.3	env-0.0	p-0.50			
T22	C1	diff-0.3	env-0.0	p-0.50			
T23	C1	diff-0.3	env-0.0	p-0.50			
T24	C1	diff-0.3	env-0.0	p-0.50			
T25	C1	diff-0.3	env-0.0	p-0.50			
T26	C1	diff-0.3	env-0.0	p-0.50			
T27	C1	diff-0.3	env-0.0	p-0.50			
T28	C1	diff-0.3	env-0.0	p-0.50			
T29	C1	diff-0.3	env-0.0	p-0.50			
T30	C1	diff-0.3	env-0.0	p-0.50			
T31	C1	diff-0.3	env-0.0	p-0.50			
T32	C1	diff-0.3	env-0.0	p-0.50			
T33	C1	diff-0.3	env-0.0	p-0.50			
T34	C1	diff-0.3	env-0.0	p-0.50			
T35	C1	diff-0.3	env-0.0	p-0.50			
T36	C1	diff-0.3	env-0.0	p-0.50			
T37	C1	diff-0.3	env-0.0	p-0.50			
T38	C1	diff-0.3	env-0.0	p-0.50			
T39	C1	diff-0.3	env-0.0	p-0.50			
T40	C1	diff-0.3	env-0.0	p-0.50			
T41	C1	diff-0.3	env-0.0	p-0.50			
T42	C1	diff-0.3	env-0.0	p-0.50			
T43	C1	diff-0.3	env-0.0	p-0.50			
T44	C1	diff-0.3	env-0.0	p-0.50			
T45	C1	diff-0.3	env-0.0	p-0.50			
T46	C1	diff-0.3	env-0.0	p-0.50			
T47	C1	diff-0.3	env-0.0	p-0.50			
T48	C1	diff-0.3	env-0.0	p-0.50			
T49	C1	diff-0.3	env-0.0	p-0.50			
T50	C1	diff-0.3	env-0.0	p-0.50			
T51	C1	diff-0.3	env-0.0	p-0.50			
T52	C1	diff-0.3	env-0.0	p-0.50			
T53	C1	diff-0.3	env-0.0	p-0.50			
T54	C1	diff-0.3	env-0.0	p-0.50			
T55	C1	diff-0.3	env-0.0	p-0.50			
T56	C1	diff-0.3	env-0.0	p-0.50			
T57	C1	diff-0.3	env-0.0	p-0.50			
T58	C1	diff-0.3	env-0.0	p-0.50			
T59	C1	diff-0.3	env-0.0	p-0.50			
T60	C1	diff-0.3	env-0.0	p-0.50			
T61	C1	diff-0.3	env-0.0	p-0.50			
T62	C1	diff-0.3	env-0.0	p-0.50			
T63	C1	diff-0.3	env-0.0	p-0.50			
T64	C1	diff-0.3	env-0.0	p-0.50			
T65	C1	diff-0.3	env-0.0	p-0.50			
T66	C1	diff-0.3	env-0.0	p-0.50			
T67	C1	diff-0.3	env-0.0	p-0.50			
T68	C1	diff-0.3	env-0.0	p-0.50			
T69	C1	diff-0.3	env-0.0	p-0.50			
T70	C1	diff-0.3	env-0.0	p-0.50			
T71	C1	diff-0.3	env-0.0	p-0.50			
T72	C1	diff-0.3	env-0.0	p-0.50			
T73	C1	diff-0.3	env-0.0	p-0.50			
T74	C1	diff-0.3	env-0.0	p-0.50			
T75	C1	diff-0.3	env-0.0	p-0.50			
T76	C1	diff-0.3	env-0.0	p-0.50			
T77	C1	diff-0.3	env-0.0	p-0.50			
T78	C1	diff-0.3	env-0.0	p-0.50			
T79	C1	diff-0.3	env-0.0	p-0.50			
T80	C1	diff-0.3	env-0.0	p-0.50			
T81	C1	diff-0.3	env-0.0	p-0.50			
T82	C1	diff-0.3	env-0.0	p-0.50			
T83	C1	diff-0.3	env-0.0	p-0.50			
T84	C1	diff-0.3	env-0.0	p-0.50			
T85	C1	diff-0.3	env-0.0	p-0.50			
T86	C1	diff-0.3	env-0.0	p-0.50			
T87	C1	diff-0.3	env-0.0	p-0.50			
T88	C1	diff-0.3	env-0.0	p-0.50			
T89	C1	diff-0.3	env-0.0	p-0.50			
T90	C1	diff-0.3	env-0.0	p-0.50			
T91	C1	diff-0.3	env-0.0	p-0.50			
T92	C1	diff-0.3	env-0.0	p-0.50			
T93	C1	diff-0.3	env-0.0	p-0.50			
T94	C1	diff-0.3	env-0.0	p-0.50			
T95	C1	diff-0.3	env-0.0	p-0.50			
T96	C1	diff-0.3	env-0.0	p-0.50			
T97	C1	diff-0.3	env-0.0	p-0.50			
T98	C1	diff-0.3	env-0.0	p-0.50			
T99	C1	diff-0.3	env-0.0	p-0.50			
T100	C1	diff-0.3	env-0.0	p-0.50			
T1	C1	same-0.3	env-5.0	p-0.50	1.09537728590126	0.295282839759504	0.586
T2	C1	same-0.3	env-5.0	p-0.50	-0.142262575052074	1	0.248
T3	C1	same-0.3	env-5.0	p-0.50	2.04962805878305	0.152243378888449	0.775
T4	C1	same-0.3	env-5.0	p-0.50	-28.6007718311261	1	0.96
T5	C1	same-0.3	env-5.0	p-0.50	2.90716349647457	0.088186849960861	0.484
T6	C1	same-0.3	env-5.0	p-0.50	-1.31017073561465	1	0.521
T7	C1	same-0.3	env-5.0	p-0.50	0.103062194272755	0.748185374559523	0.878
T8	C1	same-0.3	env-5.0	p-0.50	-1.5204722589923	1	0.613
T9	C1	same-0.3	env-5.0	p-0.50	16.1622858196621	5.81402278324157e-05	0.133
T10	C1	same-0.3	env-5.0	p-0.50	-0.566500521514556	1	0.438
T11	C1	same-0.3	env-5.0	p-0.50	-6.66203770469497	1	0.845
T12	C1	same-0.3	env-5.0	p-0.50	11.2965432203751	0.000776515308684552	0.074
T13	C1	same-0.3	env-5.0	p-0.50	-10.0517676840468	1	0.523
T14	C1	same-0.3	env-5.0	p-0.50	-140.628653452064	1	0.44
T15	C1	same-0.3	env-5.0	p-0.50	-0.785240250806419	1	0.469
T16	C1	same-0.3	env-5.0	p-0.50	-0.674972213939624	1	0.388
T17	C1	same-0.3	env-5.0	p-0.50	0.144377333179846	0.703967555299259	0.909
T18	C1	same-0.3	env-5.0	p-0.50	6.32807164317012	0.011884146790173	0.252
T19	C1	same-0.3	env-5.0	p-0.50	-52.1461675910327	1	0.975
T20	C1	same-0.3	env-5.0	p-0.50	-0.841956777591385	1	0.692
T21	C1	same-0.3	env-5.0	p-0.50	-2.12641238607708	1	0.398
T22	C1	same-0.3	env-5.0	p-0.50	-2.29140432106339	1	0.788
T23	C1	same-0.3	env-5.0	p-0.50	0.615297351133213	0.432800207049755	0.91
T24	C1	same-0.3	env-5.0	p-0.50	0.550327230702528	0.458184018677215	0.767
T25	C1	same-0.3	env-5.0	p-0.50	4.69774035241691	0.030202300663389	0.534
T26	C1	same-0.3	env-5.0	p-0.50	0.106821087931702	0.743792719626434	0.834
T27	C1	same-0.3	env-5.0	p-0.50	-1.43803628813875	1	0.29
T28	C1	same-0.3	env-5.0	p-0.50	-3.90953483392015	1	0.79
T29	C1	same-0.3	env-5.0	p-0.50	4.45226198725691	0.0348550497014187	0.617
T30	C1	same-0.3	env-5.0	p-0.50	-92.7869241597853	1	0.728
T31	C1	same-0.3	env-5.0	p-0.50	0.398999361080198	0.527606481376123	0.866
T32	C1	same-0.3	env-5.0	p-0.50	0.143780165367246	0.704551565518145	0.827
T33	C1	same-0.3	env-5.0	p-0.50	24.5148485401703	7.37393755100978e-07	0.028
T34	C1	same-0.3	env-5.0	p-0.50	9.48699500652972	0.00206933473084797	0.157
T35	C1	same-0.3	env-5.0	p-0.50	45.6030880508685	1.44813096729158e-11	0.103
T36	C1	same-0.3	env-5.0	p-0.50	0.323778755120913	0.569345552045676	0.611
T37	C1	same-0.3	env-5.0	p-0.50	-0.0399207767328176	1	0.109
T38	C1	same-0.3	env-5.0	p-0.50	0.491037067642905	0.483465056725373	0.643
T39	C1	same-0.3	env-5.0	p-0.50	13.1043650723827	0.000294608508570005	0.019
T40	C1	same-0.3	env-5.0	p-0.50	-17.1003104201937	1	0.558
T41	C1	same-0.3	env-5.0	p-0.50	1.98262261487933	0.159114392189898	0.205
T42	C1	same-0.3	env-5.0	p-0.50	4.53534057379002	0.033201849526627	0.419
T43	C1	same-0.3	env-5.0	p-0.50	0.610494199150591	0.434601796096688	0.584
T44	C1	same-0.3	env-5.0	p-0.50	-14.0656061499478	1	0.969
T45	C1	same-0.3	env-5.0	p-0.50	0.338837634137987	0.560500931116442	0.713
T46	C1	same-0.3	env-5.0	p-0.50	-3.59310792569785	1	0.948
T47	C1	same-0.3	env-5.0	p-0.50	32.3166963369522	1.30983002279614e-08	0.055
T48	C1	same-0.3	env-5.0	p-0.50	0.187216095596333	0.665243807935689	0.91
T49	C1	same-0.3	env-5.0	p-0.50	-0.406820589761137	1	0.184
T50	C1	same-0.3	env-5.0	p-0.50	-6.23290545413205	1	0.744
T51	C1	same-0.3	env-5.0	p-0.50	-31.1189300524863	1	0.413
T52	C1	same-0.3	env-5.0	p-0.50	-1.08039599687625	1	0.332
T53	C1	same-0.3	env-5.0	p-0.50	-3.45005687823047	1	0.45
T54	C1	same-0.3	env-5.0	p-0.50	18.6962379785447	1.53284612795518e-05	0.063
T55	C1	same-0.3	env-5.0	p-0.50	-0.394142553791568	1	0.338
T56	C1	same-0.3	env-5.0	p-0.50	0.0223985748640873	0.881031657439259	0.945
T57	C1	same-0.3	env-5.0	p-0.50	-1.08990598103458	1	0.399
T58	C1	same-0.3	env-5.0	p-0.50	-2.521723595716	1	0.679
T59	C1	same-0.3	env-5.0	p-0.50	0.0408624087725944	0.839803740784531	0.904
T60	C1	same-0.3	env-5.0	p-0.50	-0.427100353426004	1	0.261
T61	C1	same-0.3	env-5.0	p-0.50	0.398427830513282	0.527902309517789	0.699
T62	C1	same-0.3	env-5.0	p-0.50	0.0738752283397241	0.785775821713209	0.86
T63	C1	same-0.3	env-5.0	p-0.50	-5.22718187266368	1	0.818
T64	C1	same-0.3	env-5.0	p-0.50	0.518633298642242	0.471425260816562	0.707
T65	C1	same-0.3	env-5.0	p-0.50	0.0777939321197555	0.780309568584659	0.874
T66	C1	same-0.3	env-5.0	p-0.50	-3.143354845199	1	0.339
T67	C1	same-0.3	env-5.0	p-0.50	-6.47925250459812	1	0.966
T68	C1	same-0.3	env-5.0	p-0.50	1.15696577252782	0.282095702467415	0.725
T69	C1	same-0.3	env-5.0	p-0.50	-2.5208837553031	1	0.838
T70	C1	same-0.3	env-5.0	p-0.50	43.9082311707079	3.44138559052621e-11	0.141
T71	C1	same-0.3	env-5.0	p-0.50	0.451991712261942	0.501390636413668	0.659
T72	C1	same-0.3	env-5.0	p-0.50	-17.9019629323061	1	0.705
T73	C1	same-0.3	env-5.0	p-0.50	1.76302813996399	0.184247260487456	0.561
T74	C1	same-0.3	env-5.0	p-0.50	-0.998687086321536	1	0.339
T75	C1	same-0.3	env-5.0	p-0.50	-8.32479994419995	1	0.503
T76	C1	same-0.3	env-5.0	p-0.50	0.0249194061051313	0.874568050360509	0.959
T77	C1	same-0.3	env-5.0	p-0.50	0.0132452849588021	0.908375243163215	0.926
T78	C1	same-0.3	env-5.0	p-0.50	-0.571587749979467	1	0.311
T79	C1	same-0.3	env-5.0	p-0.50	-16.3497650228769	1	0.972
T80	C1	same-0.3	env-5.0	p-0.50	90.0315092672599	2.3439713150325e-21	0.019
T81	C1	same-0.3	env-5.0	p-0.50	4.75625967911732	0.0291919184322287	0.522
T82	C1	same-0.3	env-5.0	p-0.50	0.177376643612729	0.673637472436031	0.899
T83	C1	same-0.3	env-5.0	p-0.50	-2.25269704677433	1	0.547
T84	C1	same-0.3	env-5.0	p-0.50	-146.806628873099	1	0.998
T85	C1	same-0.3	env-5.0	p-0.50	-98.1667632536744	1	0.978
T86	C1	same-0.3	env-5.0	p-0.50	-4.35256847397169	1	0.701
T87	C1	same-0.3	env-5.0	p-0.50	-27.6251861132222	1	0.837
T88	C1	same-0.3	env-5.0	p-0.50	4.75866450991407	0.0291511581487949	0.133
T89	C1	same-0.3	env-5.0	p-0.50	-1.27120928637503	1	0.596
T90	C1	same-0.3	env-5.0	p-0.50	-36.5144870849112	1	0.92
T91	C1	same-0.3	env-5.0	p-0.50	43.8061541662809	3.62563179246217e-11	0.163
T92	C1	same-0.3	env-5.0	p-0.50	-0.996464098877117	1	0.53
T93	C1	same-0.3	env-5.0	p-0.50	1.89919688345653	0.16816824087466	0.378
T94	C1	same-0.3	env-5.0	p-0.50	3.75126016796248	0.0527677146830863	0.328
T95	C1	same-0.3	env-5.0	p-0.50	-5.46599431128745	1	0.728
T96	C1	same-0.3	env-5.0	p-0.50	-2.36050157628908	1	0.442
T97	C1	same-0.3	env-5.0	p-0.50	0.357094564029486	0.550124284788648	0.713
T98	C1	same-0.3	env-5.0	p-0.50	3.92399014684827	0.0476017717650302	0.222
T99	C1	same-0.3	env-5.0	p-0.50	-3.93420638698871	1	0.976
T100	C1	same-0.3	env-5.0	p-0.50	-0.762671544235817	1	0.237
T1	C1	diff-0.3	env-5.0	p-0.50	0.350493913673113	0.553833670617123	0.727
T2	C1	diff-0.3	env-5.0	p-0.50	-2.53502188618487	1	0.292
T3	C1	diff-0.3	env-5.0	p-0.50	1.92407527343618	0.165408099953451	0.391
T4	C1	diff-0.3	env-5.0	p-0.50	0.0603237152572198	0.805985025048152	0.879
T5	C1	diff-0.3	env-5.0	p-0.50	-0.291747353292651	1	0.371
T6	C1	diff-0.3	env-5.0	p-0.50	4.66827273540545	0.0307248134144815	0.276
T7	C1	diff-0.3	env-5.0	p-0.50	-0.00670052293676485	1	0.036
T8	C1	diff-0.3	env-5.0	p-0.50	-0.708061580550818	1	0.271
T9	C1	diff-0.3	env-5.0	p-0.50	-0.328020916782926	1	0.283
T10	C1	diff-0.3	env-5.0	p-0.50	0.59502945128572	0.440480824775787	0.676
T11	C1	diff-0.3	env-5.0	p-0.50	-6.04139938846493	1	0.89
T12	C1	diff-0.3	env-5.0	p-0.50	-3.640685615692	1	0.928
T13	C1	diff-0.3	env-5.0	p-0.50	-0.4307732557959	1	0.387
T14	C1	diff-0.3	env-5.0	p-0.50	-0.924694511243019	1	0.359
T15	C1	diff-0.3	env-5.0	p-0.50	0.043471112011923	0.83484071325149	0.909
T16	C1	diff-0.3	env-5.0	p-0.50	-15.6409124825409	1	0.91
T17	C1	diff-0.3	env-5.0	p-0.50	0.262199398937207	0.608613148858365	0.698
T18	C1	diff-0.3	env-5.0	p-0.50	5.78698115168445	0.0161452913667788	0.117
T19	C1	diff-0.3	env-5.0	p-0.50	-33.5959995596315	1	0.991
T20	C1	diff-0.3	env-5.0	p-0.50	-0.388306594002165	1	0.162
T21	C1	diff-0.3	env-5.0	p-0.50	-10.1689798832162	1	0.575
T22	C1	diff-0.3	env-5.0	p-0.50	-261.588748022107	1	0.831
T23	C1	diff-0.3	env-5.0	p-0.50	58.2446938135215	2.31460432734951e-14	0.113
T24	C1	diff-0.3	env-5.0	p-0.50	21.8984262459843	2.87469579565697e-06	0.08
T25	C1	diff-0.3	env-5.0	p-0.50	-4.37273888526472	1	0.8
T26	C1	diff-0.3	env-5.0	p-0.50	4.73519482220133	0.0295515010866268	0.481
T27	C1	diff-0.3	env-5.0	p-0.50	2.61596042698988	0.105793455072526	0.536
T28	C1	diff-0.3	env-5.0	p-0.50	-0.620234144042562	1	0.177
T29	C1	diff-0.3	env-5.0	p-0.50	11.3058224746657	0.000772644149909964	0.346
T30	C1	diff-0.3	env-5.0	p-0.50	-898.184346206458	1	0.769
T31	C1	diff-0.3	env-5.0	p-0.50	0.00867149064830249	0.925807562272835	0.946
T32	C1	diff-0.3	env-5.0	p-0.50	0.989693677744422	0.319817253849788	0.684
T33	C1	diff-0.3	env-5.0	p-0.50	0.748950150824825	0.38680882291012	0.694
T34	C1	diff-0.3	env-5.0	p-0.50	9.33335601209091	0.00225019871966146	0.265
T35	C1	diff-0.3	env-5.0	p-0.50	-1.15509612815547	1	0.537
T36	C1	diff-0.3	env-5.0	p-0.50	-5.45974213026844	1	0.738
T37	C1	diff-0.3	env-5.0	p-0.50	0.000385579508097405	0.984333603080844	0.992
T38	C1	diff-0.3	env-5.0	p-0.50	-13.7865213781174	1	0.986
T39	C1	diff-0.3	env-5.0	p-0.50	126.83044921391	2.02342436998339e-29	0.091
T40	C1	diff-0.3	env-5.0	p-0.50	2.94160710121247	0.0863248053238166	0.525
T41	C1	diff-0.3	env-5.0	p-0.50	-48.7667423072492	1	0.919
T42	C1	diff-0.3	env-5.0	p-0.50	-0.214876388271741	1	0.116
T43	C1	diff-0.3	env-5.0	p-0.50	-0.309438463774587	1	0.249
T44	C1	diff-0.3	env-5.0	p-0.50	1.35442118409573	0.244506684072819	0.499
T45	C1	diff-0.3	env-5.0	p-0.50	3.69676375551132	0.0545181137770026	0.208
T46	C1	diff-0.3	env-5.0	p-0.50	-1.14616567202916	1	0.243
T47	C1	diff-0.3	env-5.0	p-0.50	0.111258180723942	0.738716236728184	0.826
T48	C1	diff-0.3	env-5.0	p-0.50	16.9504916151506	3.83673829855875e-05	0.401
T49	C1	diff-0.3	env-5.0	p-0.50	-8.46346683142776	1	0.922
T50	C1	diff-0.3	env-5.0	p-0.50	-20.6869329459375	1	0.813
T51	C1	diff-0.3	env-5.0	p-0.50	4.66501731706333	0.0307831130005933	0.594
T52	C1	diff-0.3	env-5.0	p-0.50	-5.97347372043929	1	0.622
T53	C1	diff-0.3	env-5.0	p-0.50	0.197764296048234	0.656531526060589	0.796
T54	C1	diff-0.3	env-5.0	p-0.50	11.2477167241476	0.000797210224433168	0.526
T55	C1	diff-0.3	env-5.0	p-0.50	-0.141354978385612	1	0.2
T56	C1	diff-0.3	env-5.0	p-0.50	22.1938444394069	2.46462713018091e-06	0.029
T57	C1	diff-0.3	env-5.0	p-0.50	-4.20187771531018	1	0.765
T58	C1	diff-0.3	env-5.0	p-0.50	-0.0394681969667828	1	0.103
T59	C1	diff-0.3	env-5.0	p-0.50	0.584389469595046	0.444596914034858	0.745
T60	C1	diff-0.3	env-5.0	p-0.50	-10.7142213734553	1	0.808
T61	C1	diff-0.3	env-5.0	p-0.50	8.19350502784312	0.00420406224434358	0.028
T62	C1	diff-0.3	env-5.0	p-0.50	16.1476442323271	5.85913978542308e-05	0.215
T63	C1	diff-0.3	env-5.0	p-0.50	-13.3684039030297	1	0.915
T64	C1	diff-0.3	env-5.0	p-0.50	-0.0225418649623328	1	0.125
T65	C1	diff-0.3	env-5.0	p-0.50	6.09653478187226	0.0135447229659972	0.631
T66	C1	diff-0.3	env-5.0	p-0.50	1.90792707170048	0.167193704790356	0.647
T67	C1	diff-0.3	env-5.0	p-0.50	0.03268877361086	0.856524273071787	0.885
T68	C1	diff-0.3	env-5.0	p-0.50	-4.66320125237448	1	0.499
T69	C1	diff-0.3	env-5.0	p-0.50	0.00801880765284867	0.928646570921254	0.952
